Tahun,Berat Ekspor (KG),Berat Impor (KG),Nilai Ekspor (US $),Nilai Impor (US $)
2014,549465451472.0,147734336602.0,175979986988.0,178178963088.0
2015,509661764625.79,147093349240.0,150366291502.63,142694804223.0
2016,514784575572.2,152025371080.0,145186211246.43,135652816501.0
2017,545846633057.08,160749286641.0,168828175936.02,156985563722.0
2018,608907519215.88,171719425486.0,180012674001.97,188711350191.37
2019,654474374531.11,162628732058.0,167682996134.22,171275736997.0
2020,579678223656.35,151879995478.0,163191838162.8,141568794630.0
2021,621667835734.62,177759332403.0,231609479578.44,196189979075.0
2022,647327446413.38,183235496436.0,291979102654.46,237447056598.0
2023,224716122386.02,59893025759.0,86345188191.02,70297765033.0
